Title,Schedule,Description,Location,Phone,Email,Website
Holy Family Catholic Primary School (New Springs),N/A,"Holy Family has a reputation for being a happy school with a family atmosphere and excellent academic achievements. Our staff are committed, professional, caring and talented. They provide a happy, safe and supportive learning environment for all children to flourish and achieve. Year on year, the school has…","Longfield Street, Aspull, Wigan, WN2 1EL, 01942 246376",N/A,N/A,N/A
Holy Family Catholic Primary School (Platt Bridge),N/A,"I am delighted to welcome you to Holy Family Catholic Academy. Our aim is to give your child the best education possible built on the Gospel principles of Jesus Christ. We believe that every child is unique, should be treated as an individual and have…","Wigan Street, Platt Bridge, Wigan, WN2 5JF, 01942 704148",N/A,N/A,N/A
Holy Family Catholic Primary School - Boothstown,N/A,"We are a small Catholic Primary School situated in Boothstown, Wigan which is close to the Salford border. Our mission statement: ‘Live together, work together and pray together’, really celebrates the journey our children take each and every day from the moment they join our…","Kendal Road, Worsley, Manchester, M28 1AG, 0161 790 2123",N/A,N/A,N/A
Ince CE Primary School & Nursery,N/A,"Our School Vision is inspired by this bible verse:  Matthew 5: 14-16 ""You're here to be light, bringing out the God-colours in the world. God is not a secret to be kept. We're going public with this, as public as a city on a hill.…","Charles Street, Ince, Wigan, WN2 2AL, 01942 704129",N/A,N/A,N/A
Lamberhead Green Community Primary School,N/A,"Orrell Lamberhead Green is a very successful, two-form entry primary school where we work hard to support, inspire and prepare our children for their future. We do this through strong, informed and supportive relationships with our children and their families. Most importantly, we strive to ensure that all children achieve their BEST. …","Kershaw Street, Orrell, WIGAN, LANCASHIRE, WN5 0AW, 01942 768760, 01942 768761",N/A,N/A,N/A
Leigh CE Primary School,N/A,"We aim to give our children a passion for learning, a love and respect for each other regardless of social, cultural or personal differences, and a sense of enjoyment as they progress through their time at the school. In this way, we strive to make our…","Henrietta Street, Leigh, WN7 1LP, 01942 671389",N/A,N/A,N/A
Leigh Central Community Primary School,N/A,"As a school, we believe in the value of each and every individual child who comes through our doors. We strive to ensure that everyone who becomes a member of our school community, adult or child, feels both valued and respected and knows the contribution…","Windermere Road, Leigh, WN7 1UY, (01942) 673810",N/A,N/A,N/A
Leigh St John's CE Primary,N/A,"Formally known as St. John's C.E. Infant School, we have a long, proven tradition of educating children and young people in the Leigh area. Having originally opened in 1889 as an Infant School, St. John's has flourished into an 'Outstanding' (OFSTED 2019) primary school. In September 2016, after an…","Kirkhall Lane, Leigh, LEIGH, LANCASHIRE, WN7 1RY, 01942 672825",N/A,N/A,N/A
Leigh St Mary's CE Primary School,N/A,Our School Motto INSPIRE: To be the best that I can be BELIEVE: To believe I can make a difference for good in this world ACHIEVE: To know I have the roots to grow and the wings to fly MISSION STATEMENT At Leigh St Mary’s Church of England…,"Walmesley Road, Leigh, WN7 1YE, 01942 673889",N/A,N/A,N/A
Leigh St Peter's CE Primary,N/A,"Leigh St Peter’s CE Primary School is a caring church school, distinguishable by our Christian Foundation. We have an ethos that is committed to high quality education for all our pupils within an inclusive and nurturing environment. We hope that all our children will leave…","Leigh Street, Leigh, WN7 4TP, 01942 671442",N/A,N/A,N/A
Leigh Westleigh Methodist Primary School,N/A,"Our School Vision is: We are a loving, inclusive family, rooted in our Christian Values and nurturing ethos. We provide a positive learning environment where all children can achieve their full potential. Our school upholds a strong Christian vision that instils high aspirations and beliefs…","Westleigh Lane, Leigh, WN7 5NJ, 01942 702967",N/A,N/A,N/A
Low Bank Ground Outdoor Activity Centre,N/A,"Low Bank Ground is an outdoor activity centre that sits on the beautiful shores of Coniston Water, in the heart of the Lake District National Park. With spectacular natural environment at our disposal, our team of qualified and experienced instructors have been providing high quality…","Low Bank Ground, Coniston, LA21 8AA, 01942 489844",N/A,N/A,N/A
Lowton Junior and Infant School,N/A,Mission statement: To inspire and empower each child to succeed through curiosity and a love of learning within a nurturing community. We believe a happy child will be a successful child. We work to ensure every child enjoys school and achieves success. We do this…,"Newton Road, Lowton, Warrington, WA3 2AW, 01942 673213",N/A,N/A,N/A
Lowton St Mary's CE Primary School,N/A,"Our school motto ‘Love Learning, Stand Tall, Make a Difference’ was created with the help of staff, children, parents and governors. We looked to the Bible scripture to guide us to inspire us to ensure that our whole school community could Love Learning, Stand Tall and Make…","Newton Road, Lowton, Warrington, WA3 1EW, 01942 769710",N/A,N/A,N/A
Lowton West Primary School,N/A,"At Lowton West Primary School we aim to provide a happy, secure and stimulating environment, in which all pupils will thrive and reach their full potential. Our school ethos is very important to us and we are very proud of our happy and welcoming atmosphere.…","Slag Lane, Lowton, Warrington, WA3 2ED, 01942 724865",N/A,N/A,N/A
Mabs Cross Primary School,N/A,"Mab’s Cross Primary School's aims, policies and practices are designed to create a learning community where everyone can experience success. Our school is a place where everyone develops and achieves the best they can, both academically and personally. This is represented by our School Motto:…","Standishgate, Wigan, WN1 1XL, 01942 749200",N/A,N/A,N/A
Marsh Green Primary School,N/A,Marsh Green Primary is a nurturing school where we firmly believe that each and every child deserves to feel safe and have the very best opportunities and experiences to enable them to live fulfilling and successful lives and aspire to reach their full potential as…,"Marsh Green Primary School, Kitt Green Road, Wigan, WN5 0EF, 01942 222016",N/A,N/A,N/A
Meadowbank Primary School,N/A,We offer an exciting approach to education through the delivery of our bespoke Meadowbank Curriculum which fully engages pupils from a young age and instils a love of learning in them. This curriculum has been designed to ensure rigorous learning but also to help teachers…,"Formby Avenue, Atherton, Manchester, M46 0HX, 01942 874271",N/A,N/A,N/A
Millbrook Primary School,N/A,"At Millbrook, we want to encourage your child to become a learner for life, building up their resilience, confidence, independence and creativity through teamwork with an ability to respect and embrace diversity in all its forms. Millbrook is a place of learning, a source of lifelong memories and above all somewhere children want to be. At Millbrook…","Elmfield, Shevington, WIGAN, LANCASHIRE, WN6 8DL, 01257 404552",N/A,N/A,N/A
Newfold Community Primary School,N/A,"We strive for excellence in all we do, and provide a safe, caring and nurturing environment where all Newfold’s children can flourish as resilient, independent learners.  Creativity permeates through every immersive learning opportunity at Newfold to provide a rich and diverse curriculum that motivates learners. …","St. James Road, Orrell, Wigan, WN5 7BD, 01942 207134",N/A,N/A,N/A
Newton Westpark Primary School,N/A,"At Newton Westpark we are extremely proud of the high quality of education that is offered to every child, as well as our beautiful learning environment.  We have an inclusive and nurturing ethos and we ensure that every child's needs are met.  Our curriculum is…","Newton Westpark Primary School, Tennyson Avenue, Leigh, WN7 5JY, 01942 606 834",N/A,N/A,N/A
Nicol Mere Primary,N/A,Nicol Mere is a happy and vibrant school where children come first. We have a highly motivated and committed team of staff and governors who ensure that every child is nurtutred and supported on their very own aspirtational learning journey. We have built and teach…,"Nicol Mere Primary School, Roman Road, Ashton-in-makerfield, Wigan, WN4 8DF, 01942 720871",N/A,N/A,N/A
Orrell Holgate Academy,N/A,"Our children are well behaved, hardworking and caring; we look after them very well. We work alongside our parents to equip each child with the tools they need to be successful, safe and happy now, at secondary school and beyond. We have an exciting curriculum…","Moor Road, Orrell, WIGAN, LANCASHIRE, WN5 8SJ, 01942 776670",N/A,N/A,N/A
Our Lady's RC Primary School,N/A,"Our Lady’s enjoys a reputation as a happy and caring Catholic primary school. We are proud of our academic achievements, our friendly purposeful atmosphere and the extra curricular provision made available to our pupils. We expect the highest standards from our pupils in all aspects…","Holly Road, Aspull, WIGAN, LANCASHIRE, WN2 1RU, 01942 832299",N/A,N/A,N/A
Parklee Community Primary School,N/A,CLICK HERE to see before and after school care that picks up and drops off at this school. Ofsted Report,"Parklee Community School, Wardour Street, Atherton, Manchester, M46 0AR, 01942 874203",N/A,N/A,N/A
Platt Bridge Community School,N/A,"On behalf of all the staff, local governors, trustees, children and families of Community First Academy Trust and Platt Bridge Community School, I warmly welcome you to our school and Start Well Family Centre. The staff at Platt Bridge Community School are committed to ensuring that every…","Platt Bridge Community School, Rivington Avenue, Platt Bridge, Wigan, WN2 5NG, 01942 487999",N/A,N/A,N/A
Primary Schools,N/A,"For information on local Primary Schools including term dates, school meals, school admissions and more please select the following link and find out more Schools (wigan.gov.uk) If you are new to the area and are unsure where your local Primary school is located select the following…",N/A,N/A,N/A,N/A
R L Hughes Primary School,N/A,"Welcome We are a large, busy and friendly school. We are very proud of our school and look forward to showing you round. Ofsted judged our school to be 'Good' in February 2023 and we always strive to improve our standards. At R L Hughes…","R L Hughes Primary School, Mayfield Street, Ashton-in-Makerfield, Wigan, WN4 9QL, 01942 701147",N/A,N/A,N/A
Sacred Heart Catholic Primary School - Hindley Green,N/A,"Welcome We are a wonderful, distinctive primary school, where the Catholic ethos is evident and open to be experienced by all who enter. Our school is part of the  parish community of St. John Rigby part of the Leigh Deanery in Liverpool Archdiocese. We currently…","Swan Lane, Hindley Green, Wigan, Lancashire, WN2 4HD, 01942 767768",N/A,N/A,N/A
Sacred Heart Catholic Primary School - Leigh,N/A,Welcome We are very proud of our modern school which provides a wonderful place for teaching and learning. We have an active Friends of Sacred Heart who arrange termly events which allow parents and children to have fun together and provide us with a regular…,"Windermere Road, Leigh, Lancashire, WN7 1UX, 01942 674226",N/A,N/A,N/A
Sacred Heart Catholic Primary School - Wigan,N/A,"Welcome Sacred Heart Catholic Primary School is a happy, exciting and friendly place to be, there is a love of learning and of life, with pupils who are well behaved, hard-working and enthusiastic.All that we do at Sacred Heart is underpinned by our Christian foundation.…","Springfield Road, Wigan, WN6 7RH, 01942 231478",N/A,N/A,N/A
Sacred Heart RC Primary Hindsford,N/A,"Sacred Heart is a Voluntary Aided Primary school within the Archdiocese of Liverpool serving the Parish of St. John Rigby. A majority of pupils live in the Atherton and Tyldesley area, within the Borough of Wigan. As a smaller than average Primary school, Sacred Heart…","Lodge Lane, Atherton, MANCHESTER, M46 9BN, 01942 883429",N/A,N/A,N/A
Shevington Vale Primary School,N/A,"Welcome We want to give our children roots and wings – roots that go deep into the heart of their community and wings to imagine, aspire and dream. Our Culture At our school we create a positive learning culture. This is by inculcating: Respect for…","Runshaw Avenue, Appley Bridge, Wigan, Lancashire, WN6 9JP, 01257 253559",N/A,N/A,N/A
St Anne's Church of England Primary School,N/A,"Welcome St Anne’s is a caring Christian Primary School with children set at the heart of everything. We have around 160 pupils in our school family and we provide a safe, happy stimulating environment for children to achieve their best in all areas of their…","Wigan Lower Road, Standish Lower Ground, Wigan, Lancashire, WN6 8JP, 01942 511348",N/A,N/A,N/A
St James' Catholic Primary School,N/A,Headteacher's Welcome St James’ Catholic Primary School is a flourishing community and we are extremely proud of our pupils and their outstanding achievements. At St James’ we believe that children succeed best in an atmosphere where high expectations are underpinned by support and respect as…,"St. James Road, Orrell, WIGAN, LANCASHIRE, WN5 7AA, 01942 748455",N/A,N/A,N/A
St Mary's CE Primary School,N/A,"St Mary’s C.E. Primary School is a thriving and successful primary school situated in Platt Bridge, Wigan. Our annual intake of 45 children comes from the surrounding areas of Platt Bridge, Spring View, Lower Ince, Abram and Hindley. We moved into our new school building…","Wright Street, Platt Bridge, Wigan, WN2 3NX, 01942 866416",N/A,N/A,N/A
St. Aidan's Catholic Primary School,N/A,"Welcome: I am very proud to be Headteacher of St. Aidan’s and firmly believe that it is everything a primary school should be; inclusive, fun, exciting, caring and forward thinking! We don’t know what jobs our children will do in the future, in fact they…","Holmes House Avenue, Winstanley, Wigan, WN3 6EE, 01942 223544",N/A,N/A,N/A
St. Ambrose Barlow Catholic Primary School,N/A,"Welcome: At St. Ambrose Barlow we believe that every child is a unique being, created in the image of God. Within our school, we seek to create a happy, friendly and supportive environment, where every child has the opportunity to develop spiritually, intellectually and socially.…","Manchester Road, Astley, Manchester, M29 7DY, 01942 883912",N/A,N/A,N/A
St. Andrew's Church of England Junior & Infants School,N/A,"Welcome At St. Andrew’s, our greatest priority is that your child is happy. We firmly believe that happy children learn best, and we prove this with our results. We have high aspirations and we achieve our goals consistently because we understand that happiness leads to…","Mort Street, Springfield, Wigan, Lancashire, WN6 7AU, 01942 244354",N/A,N/A,N/A
St. Benedict's Catholic Primary School,N/A,"Welcome I am delighted to welcome you to St. Benedict’s Catholic Primary School. Our aim is to give your child the best education possible built on the Gospel principles of Jesus Christ. We believe that every child is unique, should be treated as an individual…","Abbott Street, Hindley, Wigan, Lancashire, WN2 3DG, 01942 253522",N/A,N/A,N/A
St. Bernadette's Catholic Primary School,Monday to Friday 7:30am - 5:30pm,"www.saintbernadettes.wigan.sch.uk Welcome to our website – whether you are a parent, pupil or visitor, we hope that it gives you a flavour of how we celebrate our wonderful school community. We are blessed by amazing pupils, parents, governors and staff who work together to ensure…","St. Bernadette's Catholic Primary School, Church Lane, Shevington, Wigan, WN6 8BD, 01257 401125",N/A,N/A,N/A
St. Catharine's CE Primary,N/A,Headteacher's Welcome Welcome to St. Catharine’s CE Primary School Our Town Page where you will find out all about our wonderful school. St. Catharine’s is a one form entry school situated in Scholes close to Wigan town centre. As a church school we celebrate our…,"Scholefield Lane, Scholes, WIGAN, LANCASHIRE, WN1 3LP, 01942 733081",N/A,N/A,N/A
St. Catherine of Siena Catholic Primary School,N/A,Welcome Welcome to St Catherine’s Catholic Primary School. I am so proud to be the Headteacher of this wonderful school. Our school is a caring Catholic community which places the happiness and achievement of all our children at the heart of what we do. Great…,"Cranham Avenue, Lowton, WARRINGTON, CHESHIRE, WA3 2PQ, 01942 671528",N/A,N/A,N/A
St. Cuthbert's Catholic Primary School,N/A,"Welcome to St. Cuthbert's. For a real understanding of our life here at school we welcome you to visit, we would be delighted to show you our school at work. Our governing body supports all that we do and are keen to get involved and…","St. Cuthbert's Catholic Primary School, Thorburn Road, Wigan, WN5 9LW, 01942 222721",N/A,N/A,N/A
St. David Haigh and Aspull Church of England Primary School,N/A,"Welcome Welcome to St. David Haigh and Aspull Church of England Primary School. We are a friendly, family school in beautiful surroundings on the edge of Haigh Woodland Park, with views of the Pennines. We have a unique learning environment in which our children thrive.…","Copperas Lane, Haigh, WIGAN, LANCASHIRE, WN2 1PA, 01942 831310, 01942 833818",N/A,N/A,N/A
St. Gabriel's Catholic Primary School,N/A,"About St. Gabriel’s Catholic Primary School On behalf of the children, staff and Governors, I would like to offer a very warm welcome to St Gabriel’s Catholic Primary School, serving the community of Higher Folds. We are a Voluntary Aided, 1.5 form entry school with…","St. Gabriel's Catholic Primary School, Queensway, Leigh, WN7 2XG, 01942 769712",N/A,N/A,N/A
St. Gabriel's Catholic Primary School - Breakfast Club and After School Clubs,N/A,"Breakfast Club The Breakfast Club provides a great start to the school day.  The Club offers a welcoming, friendly and safe environment for all children at St. Gabriel’s Catholic Primary School. The Breakfast Club staff work hard to foster and develop social skills, independence and…","Queensway, Leigh, WN7 2XG, 01942 769712",N/A,N/A,N/A
St. George's Central Church of England Primary School - Breakfast Club,N/A,"Essential Information 7:30am - 8:30am – Serving Breakfast. Very social - staff and children to eat together, children to help serve where possible. 7:30am – 8:40am – Free play session. Free play available - Various games and toys. Creative table - gives option to colour…","Darlington Street, Tyldesley, Manchester, M29 8DH",N/A,N/A,N/A
St. George's Central Church of England Primary School and Nursery,N/A,Headteacher's Welcome I would like to take this opportunity to welcome you to St. George’s Central CE Primary School and Nursery. We are an above average sized Church of England Primary School with a teacher led nursery for 3 and 4 year olds on our…,"St. George's Central CE Primary School, Darlington Street, Tyldesley, Manchester, M29 8DH, 01942 883773",N/A,N/A,N/A
St. James' Church Of England Primary School,N/A,"Mission Statement Our mission statement is: ""Through him we learn to live abundant lives, especially reasuring the values of friendship, trust, thankfulness, respect, forgiveness, hope and courage"" About Us St James’ CofE Nursery, Pre-School and Primary School is a vibrant and happy school. The school recieved…","St. James C Of E School, Tyrer Avenue, Wigan, WN3 5XE, 01942 703952",N/A,N/A,N/A
St. John's Church of England Primary School,N/A,"About Us Thank you for taking an interest in St. John's C.E.  We are a school family in Pemberton that aims to 'Love one another as God loves us'.  Our main aims are to help our children to become motivated, have a positive attitude and…","Church Street, Pemberton, Wigan, WN5 0DT, (01942) 222133",N/A,N/A,N/A
St. John's Mosley Common Church of England Primary School,N/A,"Welcome We believe that our school is special. The relationships that we develop with our children and families safeguard the happiness and growth of each member of our school family. Our hardworking and dedicated staff work in partnership with our Parents/Carers, Vicar, Governors and the…","St. John's Mosley Common Church Of England Primary School, Commonside Road, Worsley, Manchester, M28 1AE, 0161 790 2195",N/A,N/A,N/A
St. Joseph's Catholic Primary School,N/A,"Welcome It is a privilege for me to be able to welcome you and your family to St Joseph’s Catholic Primary School. Our School Mission statement reads ‘Love Jesus, Love Learning, Love life’ and our aim is to give your child the best education possible built on…","Mather Lane, Leigh, WN7 2PR, 01942 606395",N/A,N/A,N/A
St. Jude's Catholic Primary School,N/A,"Welcome At St Jude’s Catholic Primary School our curriculum provides opportunities for our children to ‘aspire to be more’ in an environment that is underpinned by our mission statement, “Together, We Learn, Love and Grow with Jesus.” Regardless of starting points, we ensure all children…","St. Judes Catholic Primary School, Worsley Mesnes Drive, Worsley Mesnes, Wigan, Lancashire, WN3 5AN, 01942 204091",N/A,N/A,N/A
St. Luke's Church of England Primary School,N/A,"Welcome St. Luke’s Church of England Primary School is a voluntary aided school in the Diocese of Liverpool. We are a happy, caring school which celebrates and ensures that every child is valued as an individual. The partnership between home and school is vital in…","Church Lane, Lowton, Warrington, Cheshire, WA3 2PW, 01942 201140",N/A,N/A,N/A
St. Marie's Catholic Primary,N/A,"Welcome to St. Marie's Our Mission is to be a Christian School where all can grow in faith, showing love, care and respect for each other as members of God's family. St Marie's is at the heart of the community in Standish. We are a…","Avondale Street, Standish, Wigan, Lancashire, WN6 0LF, 01257 422975",N/A,N/A,N/A
St. Mark's Church of England Primary School,N/A,"Welcome St. Mark's has a long history in our community, being established for over a centruy and enjoys strong links with our Church which is situated close by. From September 2015, St. Mark's became part of a 'hard federation' with Atherton St. George's Church of…","St. Mark's Church of England Junior School, Alexandra Street, Wigan, WN5 9DS, 01942 748618",N/A,N/A,N/A
St. Mary & St. John Catholic Primary School,N/A,"Welcome Our school serves the two Catholic Parishes of St. Mary’s and St. John’s(now called St William's Parish) within the Archdiocese of Liverpool and Wigan Local Authority. We are a single form entry school and currently have 210 pupils on roll. I speak for the children,…","Standishgate, Wigan, Wigan, Lancashire, WN1 1XL, 01942 206733",N/A,N/A,N/A
St. Michael's Church of England Primary School,N/A,"School Aims All children are entitled to a high quality education which will enhance their self-esteem, skills, knowledge, understanding and which prepares them for their future lives.  We believe children learn best in an environment in which they feel safe, cared for and are well…","Leigh Road, Atherton, Manchester, M46 0PA, 01942 883118",N/A,N/A,N/A
St. Oswald's Catholic Primary School,N/A,"Welcome to St. Oswald's Catholic Primary School “We are a learning community promoting the Gospel values of mutual trust, care and respect”. We aim to provide a happy school firmly rooted in the example and teachings of Jesus Christ in which we, the children, parents,…","Council Avenue, Ashton-in-Makerfield, Wigan, Lancashire, WN4 9AZ, 01942 724820",N/A,N/A,N/A
St. Patrick's Catholic Primary School,N/A,"St Patrick’s Catholic Primary School is a flourishing, nurturing community and we are extremely proud of our pupils and their achievements. At St Patrick’s we believe that children succeed best in an atmosphere where high expectations are underpinned by core values such as tolerance, love,…","Hardybutts, Wigan, WN1 3RZ, 01942 244361",N/A,N/A,N/A
St. Paul's CE Primary School,N/A,"St Paul's C of E. School believes in the uniqueness of every child created in the image of God.  For this reason we aim to enable each child to grow and develop in mind, body and spirit, through challenging and creative teaching within the context…","Warrington Road, Goose Green, Wigan, WN3 6SB, 01942 243068",N/A,N/A,N/A
St. Peter's Church of England Primary School,N/A,Welcome At St. Peter’s we are deeply committed to providing many learning opportunities and create a supportive environment in which each individual is nurtured and where their successes and achievements are celebrated. Our children should not only achieve their very best academically but also continue…,"Kildare Street, Hindley, Wigan, Lancashire, WN2 3HY, 01942 258647",N/A,N/A,N/A
St. Philip's Church of England Primary School,N/A,"Welcome St. Philip's is an Aided, Church of England Co-educational Primary School, catering for the needs of children from the ages of 4 to 11. The school was inspected by Ofsted in January 2009 and was graded as 'Outstanding' in all categories. Copies of the report can…","Bolton Old Road, Atherton, Manchester, Manchester, M46 9FD, 01942 883919",N/A,N/A,N/A
St. Richard's Roman Catholic Primary School,N/A,"Mission Statement St. Richard's Roman Catholic Primary School encourages everyone within the school community to know, love and follow Jesus in all that they say and all that they do. To know by: Developing as individuals, opening our eyes to the world. Encouraging an appetite…","Flapper Fold Lane, Atherton, Manchester, M46 0HA, 01942 882980",N/A,N/A,N/A
St. Stephen's Church of England Primary School - Astley,N/A,"Welcome We are a small, family primary school who cares about the well being and education of every child. Our whole team works to provide every child with the opportunity to achieve his or her full potential. We have a number of features which make our…","Astley St. Stephen's Church of England Primary School, Manchester Road, Tyldesley, Manchester, M29 7BT, 01942 882412",N/A,N/A,N/A
St. Thomas Church of England Primary School - Leigh,N/A,"A Warm Welcome St Thomas is a thriving and happy Primary School, where our Christian ethos and values underpin all we do. We offer our pupils a warm and caring atmosphere which nurtures every individual and challenges all abilities so that they may reach their…","Astley Street, Leigh, Lancashire, WN7 2AS, 01942 672730",N/A,N/A,N/A
St. Thomas' Church of England Junior and Infant School - Golborne,N/A,"Welcome Our vision is to ensure that children are highly valued by all members of the school community. We aim to inspire our children through a broad, balanced and engaging curriculum, enabling every child to succeed and experience “life in all it’s fulness”. We nurture…","Church Street, Golborne, Warrington, Cheshire, WA3 3TH, 01942 728153",N/A,N/A,N/A
