Title,Schedule,Description,Location,Phone,Email,Website
St Vincent's School. A Specialist School for Sensory Impairment and Other Needs,N/A,"Since 1850 we have had a tradition of excellence in the education and care of children with a visual impairment. We specialise in providing an all-round education maximising academic achievement, personal development, independence and self worth. We cater for pupils from Foundation Stage to Post 16, offering day, extended…","Yew Tree lane, West Derby, Liverpool, L12 9HN",N/A,N/A,N/A
StedyChefs Learning Centre,"StedyChefs Learning Centre Courses run Monday, Tuesday, Wednesday and Thursday from 9:30AM - 3:30PM","StedyChefs Learning Centre is a day service available for adults with disabilities aged 18+ in the Liverpool Area. Based at 330 Rice Lane, Walton, Liverpool, L9 2BL. The premises of StedyChefs is based on one-floor, and is wheelchair accessible.  Students will follow different modules…","330 Rice Lane, Walton, Liverpool, Merseyside, L9 2BL, 07400897397, 01519361968",N/A,N/A,N/A
Supported Employment Service,N/A,"Supported Employment Advisers are trained to identify and understand an individual’s assets, skills, strengths, gifts and talents. This helps us to understand what is important to our customers, to focus on their needs and aspirations, to have positive conversations and consider the customer as a…",WN1 1AZ,N/A,N/A,N/A
Supported Internships,N/A,"The programme, based primarily at an employer’s premises, is intended to enable young people to achieve sustainable, paid employment by equipping them with the skills they need for work through learning in the workplace. For full information please visit the website provided.",WN1 1AZ,N/A,N/A,N/A
Supporting Skills and Futures Team,N/A,"The Supporting, Skills and Futures Team consists of four areas which are:  Preparing for Adulthood The Preparing for Adulthood Life Coach service deliver a personalised approach to supporting young people within local specialist schools, focusing on people from year 9 to help to define goals…",N/A,N/A,N/A,N/A
Together Trust,N/A,"The Together Trust is one of the North West’s leading disability charities. We help children, adults, parents and carers, delivering individual care, support and education to thousands of people each year.  At the Together Trust, our vision is a society where people thrive because they are…","Schools Hill,, Cheadle,, Cheshire, SK8 1JE, 0161 283 4848",N/A,N/A,N/A
True Colours CIC,N/A,"Support for adults with autism, learning disabilities and mental health’. True Colours ensure everybody has the opportunity to have a valued, meaningful role in their community. We will encourage and motivate you to try new experiences, and give you greater choice and control in your…","True Colours C I C, Bengal Street, Leigh, WN7 1YA",N/A,N/A,N/A
West Lancashire College,N/A,"Based in the heart of Skelmersdale, West Lancashire College offers students a variety of courses to assist them in achieving their future career. West Lancashire College is a small, community based college, forming part of the NCG Group which is a large and successful national…","Northway Campus, College Way, Skelmersdale, Lancashire, WN8 6DX, 01695 52300",N/A,N/A,N/A
Wigan Independent SEND School,N/A,"Expanse WISS provides places for a maximum number of 31 students and consequently is a small, personalised and nurturing environment for young people aged 11-16 with Special Educational Needs and Disabilities, Social, Emotional Mental Health issues and for those young people who have found a mainstream…","Tyrer Ave, Worsley Mesenes, Wigan, Greater Manchester, WN3 5XE",N/A,N/A,N/A
Winstanley College,N/A,"Winstanley College is one of the country's best Sixth Form Colleges. We cherish our culture of putting students at the centre of all we do, and we are proud of our reputation for academic excellence. Our standards for students are high, and you'll receive the…","Winstanley Road, Billinge, WN5 7XF, 01695 633244",N/A,N/A,N/A
