Title,Schedule,Description,Location,Phone,Email,Website
High Ropes - Haigh Hall,N/A,Haigh High Ropes is the north west's favourite aerial adventure for all the family. Start with our low ropes course to get your head for heights and then try the high ropes challenge which will test even the biggest daredevil in the family. The courses…,"School Lane, Haigh, Wigan, WN2 1PE",N/A,N/A,N/A
Highfield Cricket Club,N/A,It has developed facilities which are the envy of many similar clubs and has a well organised and stable management committee. Please visit the website provided for full information and contact details.,"Billinge Road, WIGAN, WN3 6BL",N/A,N/A,N/A
Highfield Grange Football Club,N/A,Please visit Highfield Grange Football Club Facebook page for information and contact details.,"WIGAN, WN3 6BL",N/A,N/A,N/A
Hindley Green Football Club,Evenings and Weekends,N/A,"Hindley Green Community Primary School, Thomas Street, Hindley Green, Wigan, Lancashire, WN2 4SS",N/A,N/A,N/A
Just BU,N/A,"Our service supports and encourages even the shyest of people to get out there, and Just Be You. Just BU can help with: Develop Your Independence Gain Work Experience Get Qualified Get Involved with the Community Have Fun For more information on all the above…","Hindsford House, Printshop Lane, Atherton, Manchester, M46 9BJ",N/A,N/A,N/A
Leigh Genesis FC,N/A,We are an FA Charter Standard Community Football Club offering training and matches to all age groups.,"Newton Road, Lowton, Warrington, WA3 1DU",N/A,N/A,N/A
My Life,Open Monday to Friday from 9am to 6pm,"We aim to reduce social isolation and loneliness by bringing people together. With My Life, you can meet new friends, build relationships, learn new things, gain confidence, be more independent, have fun and take an active part in your local community. Our services We offer a range of services, tailored to…","Thompson House Equestrian Centre, Off Pepper Lane, Standish, Wigan, Greater Manchester, WN6 0PP, 01257 472 900",N/A,N/A,N/A
One Vision Media,N/A,"At One Vision Studios we provide an alternative community based training and activities programme in film and media education; taking a person centred, needs led approach to learning and support that will enable individuals to make informed choices about themselves and their education. For full…","Hope Enterprise Centre, Wigan, WN5 0PN",N/A,N/A,N/A
Orrell Rugby Union Football Club,N/A,We train in the week and play rugby union games on Sundays. The subscription money goes back into the club to pay for kit and equipment. Please visit the website below for full details.,"Gathurst Road, Orrell, WIGAN, WN5 0LJ",N/A,N/A,N/A
Peak - Outdoor Education Alternative Provision,Open Monday - Friday 09:00 - 17:00. Students can come to us for no more than 4 consecutive days per week.,"At Peak, our Development Programme offers an educational approach for children with SEND that leverages adventure-based activities and experiences to enhance the learning process for young people who find engagement in mainstream education challenging for various reasons. Peak sits within the Keys Group https://www.keyschildren.co.uk/ , meaning that…","Trafford Watersports Centre, Rifle Road, Rifle Road, Sale, Greater Manchester, M33 2LX",N/A,N/A,N/A
"Saturday sailing, windsurfing and kayaking",N/A,"It doesn’t matter if you’ve never tried these activities before, our instructors are well qualified and will make you very welcome.","Scotmans Flash, Rushdene, Wigan, WN3 5HJ",N/A,N/A,N/A
Scotsman's Flash,N/A,Scotmans Flash Activity Centre is located just outside Wigan town centre. Learn a wide range of water sports or take your skills to the next level.   Scotmans Flash Activity Centre is now under the management of Wigan Council.  Here you can take part in a…,"Sport and recreation, WN3 5HJ",N/A,N/A,N/A
Shevington Football Club,Please contact for details,"Shevington FC is a FA charter standard club, and can be traced back to playing in local churches league football in 1904. For full information and to contact the club please visit the website provided.","Highfield Ave, Shevington, WIGAN, WN6 8HB",N/A,N/A,N/A
"St Thomas', St Luke's and community Litter Pick",10am on third Saturday of each month,We meet together once a month on the third Saturday at 10am on St Thomas' church hall car park at 10am. We make our way from there to nearby areas and spend approximately two hours collecting rubbish which is later picked up by the council.…,"St Thomas' church hall car park, Warrington Road, Ashton-in-Makerfield, Wigan, Lancashire, WN4 9PL",N/A,N/A,N/A
St. Matthew's Bowling Club,Open Mon - Sun 9.00am - dusk,Community bowling club based at Highfield Hall CIC,"Highfield Community Hall CIC, Billinge Road, Highfield, Wigan, WN3 6BL",N/A,N/A,N/A
Three Sisters Racetrack,N/A,From Junior Karting to Adult Karting there is something for everyone Visit their website below for details including times and prices.,"Ashton-in-Makerfield, WIGAN, WN4 8DD",N/A,N/A,N/A
Wheels for All,N/A,"Our Wheels For All sessions are delivered at Robin Park Arena, Wigan & Leigh Harriers Athletic Track, Leigh.  Sessions are available for ages 5 upwards for children and adults. Range of bikes available to book. Booking is essential for all sessions.","Robin Park HQ, Loire Drive, Wigan, WN5 0UH",N/A,N/A,N/A
Wigan and St Helens Sailing Club,N/A,"We are a family-friendly sailing club based on Scotsman’s Flash off Poolstock Road in Wigan, offering a wide range of sailing opportunities. We are a recognised training centre, running the Royal Yachting Association’ Level Two certificate in dinghy sailing. This is held in the evenings…",N/A,N/A,N/A,N/A
Wigan Canoeing Group,N/A,"Wigan Canoeing Group offers kayaking and open canoeing at Scotmans Flash on Thursday evenings and Saturday afternoons from March to November. We also offer club trips throughout the year - on rivers, lakes, estuaries and the sea. Most of all we believe that paddling should…","off Poolstock Lane, Wigan, WN3 5HJ",N/A,N/A,N/A
Wigan Junior Latics FC,N/A,Wigan Junior Latics FC was formed in 1983 for the junior supporters of Wigan Athletic. Our objectives are to encourage young people in and around the Wigan area to play Association Football by providing structured football opportunities for youngsters to play at age levels of…,"Bankes Avenue, Orrell, Wigan, WN5 8HU",N/A,N/A,N/A
Wigan Juniors Netball Club,N/A,WJNC is a community club ran by qualified coaches with vast experience in coaching at all levels. We welcome girls of all abilities who are aged between 8 and 18. For full information please visit their Facebook page below.,"Loire Drive, Wigan, WN5 0UH",N/A,N/A,N/A
Wigan St Judes ARLFC,N/A,Wigan St Judes was formed in 1980 to provide a much needed sporting facility in the Worsley Mesnes and Poolstock area of Wigan. It began with 20 children and now has over 300 players from age 7 through to adults both men and women. On…,"Keats Avenue, Parsons Meadow, Poolstock, Wigan, WN3 5UB",N/A,N/A,N/A
Wigan St. Patricks ARLFC,N/A,To find out about Wigan St Patrick's ARLFC please go to the website provided below.,"St. Patricks R L F C, 14, Harper Street, Wigan, WN1 3BN",N/A,N/A,N/A
Wigan Youth Zone,"Wigan Youth Zone is open 7 days a week, offering sessions for young people every weeknight, over the weekend and school holidays.","What is Wigan Youth Zone? Wigan Youth Zone is a purpose-built, state-of-the-art youth facility in Wigan town centre which opened in June 2013. It offers young people from across Wigan the opportunity to meet friends, have new experiences, learn new skills and access the support…","Parsons Walk, Wigan, Greater Manchester, WN1 1RU, 01942 612061",N/A,N/A,N/A
Wigan Youth Zone - Junior Club,"Tuesdays evening and Saturday, Sunday afternoons from 11:00am",Wigan Youth Zone Junior Club offers our youngest members the most exciting and innovative play and leisure programme around. Children can access and experience a vast range of activities – all within the safety of our huge purpose-built centre. Please visit their website for full…,"Parsons Walk, WIGAN, WN1 1RU",N/A,N/A,N/A
