Title,Schedule,Description,Location,Phone,Email,Website
Abram St. Johns Church Of England Primary School,N/A,"At St. John's, Abram we are committed to developing a learning environment that enables each child to achieve their full potential. At the heart of all we do are the Christian Values that build a firm foundation for learning, ensuring our high standards and expectations…","Simpkin Street, Abram, Wigan, WN2 5QE, 01942 703465",N/A,N/A,N/A
Alison Johnson,N/A,,"Hawkley Hall, Wigan, WN3, 07709371621",N/A,N/A,N/A
All Saints Catholic Primary School,N/A,"Choosing the right school for your child is one of the most important decisions you will make. All parents want their children to feel safe, secure and happy at school. They also want their children to achieve. At All Saints Catholic Primary all children are…","Golborne All Saints Rc School, Hazel Grove, Golborne, Warrington, WA3 3LU, 01942 747655",N/A,N/A,N/A
All Saints Catholic Primary School Nursery Golborne,N/A,"We offer: 'Outstanding' provision - Ofsted 2019. School based nursery/pre-school run as part of the Early Years department Exceptional provision for three and four-year-olds provided by a highly qualified team, led by an outstanding, experienced teacher. Currently 15 hours free provision for everyone, with additional…","Hazel Grove, Golborne, Warrington, WA3 3LU, 01942 203905, 01942 747655",N/A,N/A,N/A
Amanda Holt,N/A,"Hi, my name is Manda. I am married with three children. One who is grown up, and two who are aged almost twenty and seventeen, currently at University and college. I have worked in childcare for twenty one years altogether, twelve years at a busy…","Ashton-in-makerfield, Wigan, WN4, 07914 953382",N/A,N/A,N/A
Amanda McMahon (Ladybugs Childminding),N/A,Lovely home setting with large adventure garden and a family-friendly dog. Term-time early years places and before-and-after-school places for Garrett Hall available.,"Tyldesley, Wigan, Greater Manchester, M29, 07578 578612, 0161 280 2073",N/A,N/A,N/A
Andrea Stanley,N/A,"Hello, my name is Andrea. I am a registered Childminder based in the Shevington area of Wigan. We are a family of four (which includes my 22 year old twins).  I provide a warm, loving and safe environment for every unique child in my care. We…","Shevington, Wigan, Lancs, WN6, 07927662232, 01257433339",N/A,N/A,N/A
Angela Coats - Young at Heart Childminding,N/A,"Young at Heart Childminding was first established in Wigan in 2014, as an Ofsted registered childminder. My name is Angela Coats, I have over 30 years' experience of working in childcare. I am level 4 qualified in childcare and early years. I have up-to-date mandatory…","Abram, Wigan, Greater Manchester, WN2, 01942 865716",N/A,N/A,N/A
Angela Marie Cokayne,N/A,"Ofsted registered Childminder since 2009, Graded 'Good' at last inspection in January 2023. I hold a relevant early education qualification at level 3. My setting operates all year round, from 8:00am to 5:00pm, Tuesday to Friday, except for bank holidays and family holidays. I provide…","Atherton, Manchester, M46, 01942 897884, 07782 337148",N/A,N/A,N/A
Anita Woodburn,N/A,"I have been a childminder since 2003, my qualifications are in line with Ofsted requirement and in accordance to the Early Years Statutory Framework (EYFS). In my setting I offer a large range of indoor activities. Children have access at all times to toys for…","Leigh, WN7, 01942 517975, 07929 019 762",N/A,N/A,N/A
Anne Ditchfield,N/A,I have been a registered childminder for over 30 years. I have four grown up children of my own and three grandchildren. Previous to childminding we fostered a range of children. I can offer childcare to a number of children ranging between 6 weeks onwards.…,"Atherton, MANCHESTER, Lancashire, M46, 01942 895724, 07811 359006",N/A,N/A,N/A
Appy Little Plums Ltd,N/A,"Appy Little Plums Ltd Day Nursery is a family run business managed by owner Vicky Halliwell. It opened in January 2015 and operates 4 rooms with associated facilities from a converted community centre in the heart of Westleigh, Lancashire. Children are cared for all on…","The Hall, Alma Street, Leigh, WN7 5JL, 01942 602010",N/A,N/A,N/A
Appy Little Plums Ltd - Breakfast and After School Club,N/A,Appy Little Plums Ltd Day Nursery is a family run business managed by owner Vicky Halliwell. It opened in January 2015 and offers breakfast and after-school services for 3 local schools. The nursery is registered on the Early Years Register.  Children come from a wide…,"The Hall, Alma Street, Leigh, WN7 5JL, 01942 602010",N/A,N/A,N/A
Aspull Church Primary,N/A,"We live out our school vision in all that we do at Aspull Church Primary School. We are passionate about providing an outstanding educational experience for all our children, with Christianity at the heart. At Aspull Church, we strive to work together as a team…","Bolton Road, Aspull, Wigan, Greater Manchester, WN2 1QT, 01942 746679, 01942 833931",N/A,N/A,N/A
Aspull Pre-School,N/A,"OUTSTANDING in all areas - Ofsted report 16/9/2019 We have a team of 9 staff who are highly experienced, qualified and dedicated. The pre-school is purpose built and has a secure outdoor area. We provide a range of good quality, age appropriate equipment and resources,…","Oakfield Crescent, Aspull, WIGAN, WN2 1XJ, 01942 831457",N/A,N/A,N/A
Astley Nature Kindergarten,N/A,"Astley Nature Kindergarten is housed in a stunning detached property set in over an acre of grounds. Our property has been carefully extended and refurbished, retaining the original features and character whilst creating a bright and attractive environment with abundant space for learning.  We have dedicated…","Larkhill House, 320 Manchester Road, Astley, MANCHESTER, M29 7DY, 01942 897 739",N/A,N/A,N/A
Astley Nature Kindergarten - Breakfast and After School Club,N/A,Astley Nature Kindergarten is housed in a stunning detached property set in over an acre of grounds. Providing childcare for children from 6 weeks to 11 years of age. Our property has been carefully extended and refurbished retaining the original features and character whilst creating a…,"Tyldesley, Manchester, M29, 01942 897 739",N/A,N/A,N/A
Atherton Chowbent Primary,N/A,Choosing the right school for your child is a very important decision to make. I believe that Chowbent Primary School is a very special place within which your child will flourish and I hope you will think so too. At our school we pride ourselves…,"Laburnum Street, Atherton, MANCHESTER, M46 9FP, 01942 883410",N/A,N/A,N/A
Atherton Pre-School Day Care Limited,N/A,"Our nursery is based in the Community Centre on Dorset Road, Atherton, near the train station. We are a registered charity with a board of committee members. Established in 1966, first as a playgroup, then becoming a registered nursery. We pride ourselves on having a…","Dorset Road Community Centre, Dorset Road, Atherton, Manchester, M46 9PT, 01942 883957",N/A,N/A,N/A
Atherton St George's CE Primary School,N/A,"At St George's CE Primary School we are proud of our high expectations for attainment, achievement, attitude and behaviour, providing our pupils with high aspirations to be the best that they can be. We are committed to ensuring that every child, entrusted to our care,…","St. Georges C Of E Primary School, Derby Street, Atherton, Manchester, M46 0HJ, 01942 883971",N/A,N/A,N/A
Atherton St George's CE Primary School - Breakfast Club,N/A,"St George's CE Primary School's breakfast club is for children who attend our school. Free of charge Breakfast Club, accessible for all children from Nursery to Year 6. Funded by Greggs Foundation and supported by Warburtons bread donations. Whole School Toast provision and healthy breakfast…","Derby Street, Atherton, Wigan, M46 0HJ, 01942 883971",N/A,N/A,N/A
The Avenue Private Day Nursery,N/A,"Welcoming children from a range of different ages, from six weeks to four years old, The Avenue Private Day Care provides fantastic childcare services to suit you, your child and your schedule. If you’re looking for a nursery in Leigh or surrounding areas that boast…","The Avenue, Leigh, WN7 1ET, 01942 261339",N/A,N/A,N/A
The Avenue Private Day Nursery - Out of School Care,N/A,Look no further than The Avenue Private Day Nursery in Leigh for entertaining after-school clubs and day care. These are available for children aged 4 to 11 years old and they can stay with us before or after school. Your child is able to continue…,"Avenue Private Day Nursery, The Avenue, Leigh, WN7 1ET, 01942 261339",N/A,N/A,N/A
The Baby Cottage,N/A,"This provider has not yet completed their information page. For more information about this childcare service, please contact the Early Learning & Childcare Team on leyep@wigan.gov.uk and we will endeavour to put you in contact with them.","5, Marsh Green, Wigan, WN5 0PT",N/A,N/A,N/A
Bedford Hall Methodist Primary School,N/A,"We pride ourselves on having a dedicated, nurturing teaching staff who are committed to providing all children with the very best educational outcomes. They encourage the children to develop confidence and independence by ensuring positive attitudes and high standards of work and behaviour. We strive…","Breaston Avenue, Leigh, WN7 3DJ, 01942 672614",N/A,N/A,N/A
Bedford Hall Methodist Primary School - Nursery,N/A,"Learning offered in a safe and stimulating environment with access to high quality learning experiences, both indoor and outdoor, throughout the year. Our EYFS (Early Years Foundation Stage) promise to each child is that 'Every Day You Feel Special' in our care. Our setting is run by a…","Breaston Ave, Leigh, Lancashire, WN7 3DJ",N/A,N/A,N/A
Beech Hill Community Primary - Out of School Care,N/A,If you are interested in a place please contact Beech Hill Community Primary School using the details below. Please click the link to view our latest Ofsted Report.,"Netherby Road, Wigan, WN6 7PT, 01942 243582",N/A,N/A,N/A
Beech Hill Community Primary School,N/A,"Welcome to Beech Hill Community Primary School, a co-educational school for children aged between 3 and 11 years. The school was established in 1913 and has developed alongside the community it serves. Since it opened, thousands of children have passed through its doors and generations…","Netherby Road, Wigan, WN6 7PT, 01942 243582",N/A,N/A,N/A
Beech Hill Community Primary School Nursery,N/A,"Our full school day starts at 8:45am and finishes at 3:15pm. Our morning session finishes at 11:55am, and our afternoon session begins at 12:10pm Children may attend the nursery in the September following their third birthday. All children are entitled to 15 hours in Nursery…","Netherby Road, Beech Hill, Wigan, WN6 7PT, 01942 243582",N/A,N/A,N/A
The Beeches Pre-School,"Monday-Thursday, Term time only","Our recent Ofsted inspection was graded as 'Outstanding' in all areas. Please view our report below. The Beeches Pre-School is owned and managed by two experienced, fully qualified teachers. Between us we have over 40 years of teaching experience in schools.  Currently taking registrations for…","1, Beech Drive, Pennington, Leigh, WN7 3LJ, 07704 632 473",N/A,N/A,N/A
Bernadette Hounslea (Buddies Childcare),N/A,"I’m an Ofsted registered Childminder, I support the EYFS (Early Years Foundation Stage) curriculum. Based in Astley, with Tyldesley Primary School a two minute walk away. Over 20 years childcare experience. I accept childcare vouchers, I'm registered to take Tax Free Childcare and can help you…","Astley, Manchester, Lancashire, M29, 01942 895683, 07707029633",N/A,N/A,N/A
Bickershaw CE Primary,N/A,"At Bickershaw Church of England Primary School, Christian values underpin the whole life of our school. Children, staff, governors and parents work together in a caring, loving Christian community; where all children are valued, appreciated, respected, and given a firm foundation for life. We seek…","Bickershaw Lane, Bickershaw, Wigan, WN2 4AE, 01942 866317",N/A,N/A,N/A
Bluestone Nursery,N/A,"Award winning Bluestone nursery offers children lots of fun and excitement as they learn new things and become independent and confident learners. Our staff are well qualified, all are paediatric first aid trained and have access to continual professional development. Our chef cooks and prepares…","351, Leigh Road, Leigh, WN7 1TN, 01942 512791",N/A,N/A,N/A
Breakfast Club At Bickershaw CE Primary School,N/A,8:00am to 8:50am every morning in the school hall. £3.50 per session. Free to children eligible to pupil premium. Please visit our website for more information. Ofsted Report,"Bickershaw Lane, Bickershaw, WIGAN, LANCASHIRE, WN2 4AE, 01942 866317",N/A,N/A,N/A
Bright Horizons Astley Nursery and Preschool,N/A,"Here at Bright Horizons we offer exceptional Childcare. We are a 75 place Nursery, open 5 days a week 7:15am to 6:00pm. Our Nursery Chef prepares and freshly cooks all of our meals on site; we cater for a variety of dietary and religious requirements.…","The Stables, Horridges Farm, Higher Green Lane, Tyldesley, Manchester, M29 7HQ, 01942 363620",N/A,N/A,N/A
Britannia Bridge Primary School,N/A,"We provide the very best for ‘each and every one’ of our 2 to 11 year old children and our families. We are housed in a new, state of the art building, in the heart of Lower Ince (within easy reach of Wigan town centre).…","Winifred Street, Ince, Wigan, WN3 4SD, 01942 760036",N/A,N/A,N/A
Britannia Bridge Primary School - Nursery,N/A,"Britannia Bridge Primary School is a true community school, providing the very best for ‘each and every one’ of our 3- to 11-year-old children and their families. We are situated in the heart of Lower Ince, within easy reach of Wigan Town Centre. Our school…","Winifred Street, Lower Ince, WIGAN, LANCASHIRE, WN3 4SD, 01942 760036",N/A,N/A,N/A
Brooklands Childcare - Bryn,Open Monday to Friday 7:30 am until 6:00pm,Brooklands at Bryn have been providing rich and exciting learning opportunities for babies and young children since 1999. Brooklands Bryn provides the highest standard of care and education for children aged from 6 weeks to 4 years of age. Brooklands at Bryn is a beautiful…,"Rose Hill, Wigan Road, Ashton-in-Makerfield, Wigan, Lancashire, WN4 0BS, 01942 760066",N/A,N/A,N/A
Brooklands Childcare - Hindley First Avenue,N/A,"Care and Education is provided by highly qualified staff who have a genuine enthusiasm for caring for young children. We offer stimulating, fun and purposeful activities and resources to children at the setting. Children are observed and assessed to ensure individual needs are met and…","14, First Avenue, Hindley, WIGAN, Greater Manchester, WN2 3EB, 01942 760055",N/A,N/A,N/A
Brooklands Childcare - Hindley Market Street,N/A,We appreciate that choosing suitable childcare for your son or daughter can be difficult and quite an anxious time for you as parents/guardians. We hope that the relaxed and friendly atmosphere here at Hindley Brooklands Childcare will help make yours and your child’s experience at…,"137B, Market Street, Hindley, WIGAN, Lanacshire, WN2 3AA, 01942 760044",N/A,N/A,N/A
Brooklands Childcare - Leigh,N/A,"At Brooklands Childcare Leigh, we understand it can be a daunting, but also the most important, decision choosing the best setting for you and your child. Here at Leigh our staff are dedicated to provide a safe, friendly and warm environment that your child can…","The Foundation Centre, Walmesley Road, Leigh, Wigan, WN7 1XL, 01942 675909",N/A,N/A,N/A
Bryn St Peter's CE Primary,N/A,"We are very proud of our school and aim to ensure that we offer a secure, inclusive and caring environment where everyone is valued and respected. Our children are encouraged to build independence, resilience and confidence, through exploration and questioning via a range of exciting…","Downall Green Road, Ashton-in-makerfield, Wigan, WN4 0DL, 01942 204041",N/A,N/A,N/A
Buckeroo's Childminding,N/A,"I am Nicola form Buckeroo's Childminding Service, Astley. It has been my ambition since I qualified as a Nursery Nurse over 20 years ago to become a childminder. Apart from the vast experience of being a mum to my adorable daughter's Sophia, aged 13 and…","Tyldesley, Manchester, M29, 07971 811 369",N/A,N/A,N/A
Buddies Before & After School Club,N/A,If your child attends this school and you would like more information please contact us on the number provided below.,"Swan Lane, Hindley Green, Wigan, WN2 4HD, 07742 156069",N/A,N/A,N/A
Bumblebees @ St Paul's Nursery,N/A,Bumblebees was established in July 2005 and staff have over 20 years experience in childcare. All staff have a minimum of Level 3 childcare qualification and senior management are qualified to level 6. All staff are highly trained and skilled at their profession. We are…,"St. Pauls C Of E Junior & Infant School, Warrington Road, Goose Green, WIGAN, Greater Manchester, WN3 6SB, 07718 642592",N/A,N/A,N/A
Bumblebees Out Of School,N/A,Bumblebees is a small private business that can accept children from St Paul's CE Primary School. We can have up to 24 children per day. Nursery children can also access breakfast and after-school club. All staff are highly trained and skilled. We aim to create a…,"St. Pauls C Of E Junior & Infant School, Warrington Road, Goose Green, Wigan, Greater Manchester, WN3 6SB, 07718 642592",N/A,N/A,N/A
The Bungalow School Club,N/A,,"52, Tanhouse Drive, Wigan, WN3 6JP, 07854 615604",N/A,N/A,N/A
Busy Bees Day Nursery At Wigan - Scholes,N/A,"Busy Bees Scholes is located close to the town centre with a large car park for parents. We have four bright, inviting rooms with two spacious gardens where children can investigate and explore to help them to develop and grow. We also have a separate…","Windmill Close, Scholes, Wigan, WN1 3QS, 01942 239939, 07794 383146",N/A,N/A,N/A
Busy Bees Wigan - Marylebone,N/A,"We are situated near to Wigan and Leigh college and are served by a regular circular bus service. We have a team of experienced, long-serving staff, qualified between level 2 and level 6. We have a spacious outdoor area with safety surface, a large variety…","35-37, Walkden Avenue, Swinley, WIGAN, WN1 2JJ, 01942 821898",N/A,N/A,N/A
Byrchall High School,N/A,"At Byrchall we offer an exciting and stimulating learning environment with access to one of the broadest range of subject options in the region. In addition to more traditional subjects, every student is taught how to harness the latest technologies to equip them with the…","Warrington Road, Ashton-in-Makerfield, WIGAN, LANCASHIRE, WN4 9PQ, 01942 728221",N/A,N/A,N/A
Canal House Day Nursery,N/A,With a dedicated experienced staff team we offer the children a great outdoor environment with aspects of Forest School and outdoor learning sessions. All of our childcare practitioners are certified in early childhood education. We understand the importance of getting a jump-start on education at…,"Douglas Bank Lock House, Ball Street, Beech Hill, Wigan, Greater Manchester, WN6 7TE, 01942 237378, 07742579657",N/A,N/A,N/A
Canal House Forest School Holiday Club,Open Tuesday - Thursday during the school holidays,"The forest site that we are using is situated Within Canal House Day Nursery and is accessed via the gate from Canal House car park. With access to Leeds and Liverpool canal, this offers exciting opportunities for the children to experience first-hand how we as…","1, Ball Street, Wigan, County (optional), WN6 7TE, 01942237378",N/A,N/A,N/A
Canal House Out of School Club,N/A,"Hello everyone, If you don’t know us or anything about us let me introduce ourselves. We are an umbrella of nurseries and have sites within Newton-Le-Willows and Ashton-In Makerfield. Our site in Ashton also runs a successful busy Out-of-School Club. We are a full, busy…","St. Annes C Of E School, 170, Wigan Lower Road, Standish Lower Ground, Wigan, WN6 8JP, 01942 237378",N/A,N/A,N/A
Canon Sharples CE Primary,N/A,"Canon Sharples is a Christ centred school that aims to place the curriculum within a Christian setting. We hope, in such a way, to inspire our pupils to grow in a personal understanding of all that it means to be human through the acquisition of…","Whelley, Wigan, WN2 1BP, 01942 776188",N/A,N/A,N/A
Canon Sharples CE Primary School - Breakfast Club,N/A,"Canon Sharples breakfast club is for children who attend the school, for full information please visit the school website.   Ofsted Report","Whelley, Wigan, WN2 1BP, 01942 776188",N/A,N/A,N/A
Canon Sharples CE Primary School Nursery,N/A,Please contact us via the details below for more information. Please see the link to our latest Ofsted Report,"Whelley, WIGAN, WN2 1BP, 01942 776188",N/A,N/A,N/A
Cansfield High School,N/A,"Cansfield is an inclusive 11 to 16 secondary school and every member of our team does their upmost to provide a high standard of education, care and support to the students who form the bedrock of our community. At Cansfield we have high aspirations for…","Old Road, Ashton-in-makerfield, Wigan, WN4 9TP, 01942 727391",N/A,N/A,N/A
Care Love Learn at St Oswald's - Out-of-school Club,N/A,"We have a fully established out-of-school club based on site, providing a high quality wraparound care facility for children aged 18 months to 11 years. We are open from 7:30am for breakfast club and until 6:00pm for children in after-school club, Monday to Friday. If your child…","Care Love Learn at St Oswald's, Council Avenue, Ashton-in-Makerfield, Wigan, Lancs, WN4 9AZ, 07732 092 666",N/A,N/A,N/A
Care Love Learn at St Oswald's Day Nursery,N/A,"OPENED IN SEPTEMBER 2021 - CARE LOVE LEARN PRE-SCHOOL AND NOW DAY NURSERY, ENROL YOUR CHILD FOR A FREE FUNDED PLACE! Care Love Learn Childcare based at St Oswald's Catholic Primary School in Ashton-in-Makerfield, has a day nursery for children from the age of 18 months and…","Care Love Learn at St Oswald's Day Nursery, Council Avenue, Ashton-in-Makerfield, Wigan, WN4 9AZ, 07732 092 666",N/A,N/A,N/A
Carol Turner,N/A,I have been childminding since 2004 and offer a wide range of indoor and outdoor activities. I work with other childminders to provide the best that I can for children and have attended lots of courses and gained Level 3 NVQ in Childcare. I promote…,"Tyldesley, Manchester, M29, 01942 873725, 07746 437744",N/A,N/A,N/A
Castle Hill Kids Club Hindley Ltd,N/A,"We run a successful before & after-school club and holiday provision from within Castle Hill St Philip's CE Primary School, Hindley. It is open for 50 weeks of the year, every day, except bank holidays and the Christmas holidays. Castle Hill Kids Club is a…","Hereford Road, Hindley, Wigan, WN2 4DH, 07714590790",N/A,N/A,N/A
Castle Hill St. Philips CE Primary,N/A,"""Caring, Sharing and Learning Together with God"" We are part of a loving, Christian family and our Christian Values of: Love, Respect, Forgiveness and Perseverance are at the heart of all we do.We cultivate strong relationships between the school, church, parents/carers and the wider community…","Hereford Road, Hindley, WIGAN, LANCASHIRE, WN2 4DH, 01942 255578",N/A,N/A,N/A
CFAT Superheroes at Hindley Junior & Infant School,N/A,Hindley Junior & Infant School work with CFAT Superheroes Ltd to offer onsite breakfast and after-school club services for pupils of Hindley J&I School only. The club launched in February 2023 and is operated by Anita Else and Stacey McCallum each day. Breakfast club offers a…,"Hindley Junior & Infant School, Argyle Street, Hindley, Wigan, Greater Manchester, WN2 3PN, 01942 255339",N/A,N/A,N/A
Cheryl Southworth,N/A,"I am an experienced childminder with children of my own aged, 11, 5 and 3 years old. I have worked in 2 'Outstanding' nurseries in the past and I have great knowledge of the EYFS (Early Years Foundation Stage). I organise fun days out in…","Wigan, WN3, 07889 549952",N/A,N/A,N/A
Cheryl Swadkins,N/A,"I set up my childminding service in 2003 with the intention of providing a fun, happy and secure day care service for children.  Here you will find a nurturing and stimulating environment for children of all ages. I do not operate as a nursery, I…","Goose Green, Wigan, WN3",N/A,N/A,N/A
The Children's Club TCC,N/A,"The Children's Club has qualified and experienced staff who provide a safe, friendly environment for your children aged 4-11. We are registered with Ofsted and are graded as an 'Outstanding' provider. TCC work closely with St David's School and provide activities complementing St David's Ethos.…","St. Davids CE Primary School, Copperas Lane, Haigh, Wigan, WN2 1PA, 07936819956",N/A,N/A,N/A
Chowbent Primary School - Breakfast Club and After School Club,N/A,Information about our Breakfast Club and After School Club can be found on the links below.  Breakfast Club Information  After School Club,"Laburnum Street, Atherton, Manchester, M46 9FP, 01942 883410",N/A,N/A,N/A
Christ Church CE Primary (Pennington),N/A,"‘And the child grew and became strong...’ (Luke 2:40)  The golden thread in our vision is growth (firmly rooted in scripture) and the sense of belonging to one family. At Christ Church, we are a family with God at its heart. We help children to…","West Bridgewater Street, Leigh, LEIGH, LANCASHIRE, WN7 4HB, 01942 673667",N/A,N/A,N/A
Christelle Simmons,N/A,"I came to realise that I have a natural aptitude for providing fun and learning for little ones, when I became a first time mum at the tender age of 40yrs old. I started as a volunteer in my daughter’s nursery and worked my way…","Orrell, Wigan, WN5",N/A,N/A,N/A
Christina Riley (Little Stars Childcare),N/A,"We live in Winstanley, and currently support families attending Winstanley Community Primary School and St Aidan’s Catholic Primary School. Children can be dropped off at our home from 7am spending a little time with friends then off to school for 9am. After their school day,…","Wigan, WN3, 07921 822503",N/A,N/A,N/A
Claire Burrows,N/A,"I have been a registered childminder since 1996. Every child in my setting is happy, secure, valued and confident. I value every child as a unique individual who enjoys learning and thinking for her / himself. I provide a supportive and secure environment in which…","Marus Bridge, WIGAN, Lancashire, WN3, 07752 579 105",N/A,N/A,N/A
Claire Hampson,N/A,"I have been working with children since 1992. I worked in a daycare setting until 2000, when I started childminding. I have a NVQ Level 3 in childcare. I have a son, and a black Labrador. We visit local toddler groups, go swimming, go to…","Atherton, Manchester, M46, 01942 393030, 07800 579 291",N/A,N/A,N/A
Confidence Club Ltd,N/A,"Breakfast club each morning from 7:30am provided for the children who attend the school. After school club on Mondays, Tuesdays and Wednesdays until 4:15pm for children who attend the school  Drink and snack provided.","Mort street, Springfield, Wigan, Lancashire, WN6 7AU, 07847227215",N/A,N/A,N/A
The Cool Club - All Saints Catholic Primary School Out of School Club,N/A,The Cool Club provides all families with care from 7:45am-5:30pm with experienced Early Years trained staff in post. The service runs term time only. At this time the service provides for only the children who attend All Saints school and preschool/nursery. A place to play…,"All Saints Catholic Primary School, Hazel Grove, Golborne, Warrington, WA3 3LU, 01942 203905, 01942 747655",N/A,N/A,N/A
Cool Stars - Out of School Club,N/A,"We are a privately owned Out-of-School club providing before and after-school and holiday care for the pupils of Lowton St Mary's CE Primary School. This offers your child a safe, stimulating place in which to play or take part in activities and crafts. The club's…","Newton Road, Lowton, WARRINGTON, Cheshire, WA3 1EW, 01942 776109",N/A,N/A,N/A
Corrina McGoldrick,N/A,"We are a newly established service comprising of two highly qualified and experienced childcare professionals. We have over thirty years childcare experience between us gained within nursery settings. We aim to provide quality education and experiences in a homely environment where we will encourage independence,…","Warrington, WA3",N/A,N/A,N/A
Crackerjax Out of School Club,N/A,"Our staff are highly qualified in Childcare, Learning and Education, First Aid, Safeguarding and have completed multiple courses relating to children's mental health and other various topics. We have use of the schools computer suite which enables the children to do homework with the help…","Bolton Road, Aspull, Wigan, Lancashire, WN2 1QW, 07731848162",N/A,N/A,N/A
Daisy Daycare,N/A,"We believe in learning through play, by providing stimulating and inviting play experiences. We encourage playing through exploration to enable our children to become active learners and give them opportunities to create and think critically. We were recently inspected by Ofsted in April 2022 and were elated to have received…","106, Castle Hill Road, Hindley, Wigan, WN2 4BH, 01942 804717",N/A,N/A,N/A
Danielle Ashurst,N/A,"We are offering home-based childcare with flexible morning activities at playgroups, swimming baths, parks etc. thus allowing the children social experiences as well as the secure homely environment we have provided to our own children for 17 years. The children can access at any time…","Tyldesley, Manchester, M29, 0161 703 7557",N/A,N/A,N/A
Danielle Renshaw,N/A,"Quotes taken from most recent Ofsted inspection: ""Children are safe and well cared for in this welcoming environment, which is modelled on a small nursery. They demonstrate secure attachments with the childminder and her two full-time assistants. Adults work together very effectively to meet children's…","Wigan, WN2, 07864 196266",N/A,N/A,N/A
Dawn Clancy - Poppins Childminding,N/A,"I have been working with children for over 30 years - Firstly as a Nanny, then as a Nursery Nurse and then for 20 years as a Primary School Teacher. Now I'm proud to be an Outstanding Ofsted Registered Childminder, in Tyldesley. I live 0.9miles…","Tyldesley, Manchester, M29, 07976 915347",N/A,N/A,N/A
Dawn Clarke,N/A,"My childminding setting is based in Astley and only a short walk to the local school, Garrett Hall Primary School, where I drop off and pick up my childminding children. I care for children who are between 3 months to 12 years and provide a…","Tyldesley, Manchester, M29, 07901 780739",N/A,N/A,N/A
Dawn Hornby,N/A,"I have a warm, cosy setting in which I strive to give the best service I can to the children and parents. I have 23 years’ experience and have watched many children grow into lovely young adults. I have a dog and a cat which the…","Tyldesley, Manchester, M29, 07811798151",N/A,N/A,N/A
Dean Trust Rose Bridge,N/A,"Dean Trust Rose Bridge caters to approximately 700 pupils, aged 11-16. We operate a three year Key Stage 3 and a two year Key Stage 4. As part of our protocols, we have a number of over-arching aims and a mission that pervades all of…","Holt Street, Ince, Wigan, WN1 3HD, 01942 510712",N/A,N/A,N/A
