Title,Schedule,Description,Location,Phone,Email,Website
Hindley Green Community Primary School - Nursery,N/A,"We deliver the curriculum through planned, purposeful play that is based upon the interests and learning needs of the children. Nursery staff work closely with our Reception team so that there is continuity and smooth transition. We welcome our intake of children in September; depending…","Thomas Street, Hindley Green, Wigan, Lancashire, WN2 4SS, 01942 255406",N/A,N/A,N/A
Hindley Nursery School,N/A,"Our high quality provision is underpinned by our strong focus on quality interactions through child-initiated play and adult-guided play. Our provision ensures that we focus on children’s well-being, involvement and how we motivate and engage the children, providing opportunities for them to develop the characteristics…","Mornington Road, Hindley, Wigan, Lancashire, WN2 4LG, 01942 488228 (Select option 1 for 3 & 4 Year old Nursery or option 2 for pre-nursery)",N/A,N/A,N/A
Holy Family Catholic Academy - Nursery,N/A,Our nursery is open term-time during school hours. The doors open at 8:45am for children to begin arriving and to allow parents time to speak to their child's key worker if necessary. The school Breakfast club is open to Nursery children at an additional cost…,"Wigan Street, Platt Bridge, WIGAN, LANCASHIRE, WN2 5JF, 01942 704148",N/A,N/A,N/A
Hope School Early Years Unit,N/A,"Hope School’s foundation stage caters for children aged 2-5 in a fully inclusive unit, educating mainstream children alongside their peers with additional needs. Our Services include: Two-year-old provision: Open from 8:00am-4:00pm (government funded places available and paid sessions). Preschool: 3 and 4-year-olds (15 and 30 hour government…","Kelvin Grove, Winstanley, WIGAN, WN3 6SP, 01942 824150",N/A,N/A,N/A
Ince CE Primary - Nursery,N/A,"We have a school-based Nursery which runs as part of our Early Years Department. We have a purpose-built area which is bright and stimulating and full of exciting play-based learning resources. Our Nursery is staffed by a qualified, experienced, dedicated team. We have many play/green…","Charles Street, Ince, Wigan, Greater Manchester, WN2 2AL, 01942 704129",N/A,N/A,N/A
Leigh CE Nursery,N/A,"Leigh CE Nursery is based within Leigh CE Primary School in Leigh, situated in the heart of the community and has the benefit of being part of 'The Wings' CE Trust'. As a Nursery we believe that we are privileged to be entrusted with your…","Henrietta Street, Leigh, WN7 1LP, 01942 671389",N/A,N/A,N/A
Leigh Central Community Pre-School,N/A,Leigh Central Community Pre-school was established over 20 years ago providing a high quality early years’ experience. We offer term time 15 and 30 hours funded places for children aged 3 to 4 years. Pre-school operates in line with the same term time dates as…,"Windermere Road, Leigh, Lancashire, Lancashire, WN7 1UY, 01942 260628 option 3",N/A,N/A,N/A
Leigh St Peter's CE Primary - Nursery and Pre-school,N/A,"An exciting preschool learning experience with a qualified teacher. School based nursery/pre-school  Provision for three and four-year-olds provided by a highly qualified team, led by an outstanding, experienced teacher. Currently 15 hours free provision for everyone in Pre-school (3 and 4 years)  30 hours free provision…","Leigh Street, Leigh, LANCASHIRE, WN7 4TP, 01942 671442",N/A,N/A,N/A
Leigh Westleigh Methodist Primary - Nursery,N/A,"Our Nursery takes children aged 2-4 years. Children become part of a wider school family where everyone feels happy, nurtured, safe and valued. Run by a teacher and teaching assistants, our aim is to give children the best possible start for the next steps in their educational journey and…","Westleigh Lane, Leigh, LEIGH, LANCASHIRE, WN7 5NJ, 01942 702967",N/A,N/A,N/A
Little Dragons' Nursery at Atherton St George's CE Primary School,N/A,"Little Dragons' Nursery is based within Atherton St George's CE Primary School in Atherton, situated in the heart of the community, and has the benefit of being part of The Wings' CE Trust. As a pre-school we believe that we are privileged to be entrusted with…","Derby Street, Atherton, MANCHESTER, LANCASHIRE, M46 0HJ, 01942 883971, enquiries@admin.saintgeorges.wigan.sch.uk",N/A,N/A,N/A
Lowton St. Marys CE Primary - Nursery,N/A,"Our purpose built Foundation Stage building has been open since 2008. The open plan design creates light and space for the children to learn and play as a whole class, in smaller groups or individually while being constantly monitored by our dedicated staff. There are…","Newton Road, Lowton, WARRINGTON, CHESHIRE, WA3 1EW, 01942 769710",N/A,N/A,N/A
Marsh Green Primary School Nursery,N/A,"Marsh Green is a nurturing school. We offer funded and paid nursery places for children aged 2 in our Young Explorers classroom, where we offer a wide range of quality learning experiences, both indoors and out. Young Explorers have a team of 5 qualified and…","Kitt Green Road, Marsh Green, Wigan, WN5 0EF, 01942 222016",N/A,N/A,N/A
Meadowbank Primary School Nursery Education Centre,N/A,Please contact us on the details below for more information about our Early Years Provision. Click the link to view our latest Ofsted Report.,"Formby Avenue, Atherton, MANCHESTER, M46 0HX, 01942 874271, 01942 895321",N/A,N/A,N/A
Newfold Community Primary School - Nursery,N/A,Newfold Nursery provides Ofsted 'Outstanding' provision for pre-mainstream school children. Children are supported in their learning and development by highly qualified and experienced teachers and Learning Support Assistants. Our purpose built Nursery setting and extensive outdoor environment provides your child with the best possible start…,"St James Road, Orrell, Wigan, Lancs, WN5 7BD, 01942 207134",N/A,N/A,N/A
Parklee Community Primary School Nursery,N/A,"We are a maintained nursery attached to Parklee Community Primary School. It is run by a fully qualified teacher and highly skilled teaching assistants. We firmly believe in learning through play both indoors and outdoors. We provide a warm, caring environment with a broad and…","Wardour Street, Atherton, Manchester, M46 0AR, 01942 874203",N/A,N/A,N/A
Platt Bridge Community School - Nursery,N/A,"We are an outstanding provider of pre-school provision (Ofsted 2014) Our child-centred approach promotes the development of creativity, individuality and self-confidence through working in partnership with parents to provide the highest standard of care. Our nursery is organised across three rooms with access to a…","Rivington Avenue, Platt Bridge, WIGAN, LANCASHIRE, WN2 5NG, 01942 487999",N/A,N/A,N/A
Play Along Pre-School,N/A,"We are an open and welcoming setting with a homely feel. All our staff are experienced and passionate about their role, putting the children at the centre of everything we do.  We are very much included in the life of Millbrook school, eating lunch in the…","Millbrook Primary School, Elmfield, Shevington, Wigan, Lancashire, WN6 8DL, Millbrook School office: 01257 404552, Play Along Pre-school direct line tel: 01257 401030",N/A,N/A,N/A
R L Hughes Primary School Nursery,N/A,"At R L Hughes Nursery, the children are taught to share and care about others, reflecting the values in our school mission statement. Our dedicated Early Years team, led by two fully qualified teachers, provide a happy, caring, secure and safe learning environment where your…","Mayfield Street, Ashton-in-makerfield, Wigan, WN4 9QL, 01942 701147",N/A,N/A,N/A
Sacred Heart Catholic Primary School Nursery,N/A,"Sacred Heart Nursery is situated at the heart of the community, with strong links to Sacred Heart Parish in Springfield. At Sacred Heart we aim to provide a fun, safe, challenging, rich and broad educational environment that enables each child to thrive and become well-rounded,…","Springfield Road, Springfield, WIGAN, LANCASHIRE, WN6 7RH, 01942 231478",N/A,N/A,N/A
"Saint Patrick’s Nursery, Wigan",N/A,Pre-school provision provided for up to 52 children per session; Government Funded places available for families entitled to 15 hours per week; Government Funded places available for families entitled to 30 hours per week - code applied for by 31st August / 31th December /…,"Hardybutts, Scholes, Wigan, Lancashire, WN1 3RZ, 01942244361, 01942776710",N/A,N/A,N/A
St Aidan's Catholic Primary School - Nursery,N/A,"Saint Aidan’s is an exciting, motivating and inclusive nursery with a qualified full time teacher. Our aim is to ensure children enjoy learning whilst sparking imagination and becoming confident children. We have a fantastic, stimulating indoor and outdoor space where children can explore and make…","Holmes House Avenue, Winstanley, WIGAN, LANCASHIRE, WN3 6EE, 01942 223544, 01942 222634",N/A,N/A,N/A
St James’ Church of England Nursery and Pre-School,N/A,"About Us St James’ CofE Nursery, Pre-School and Primary School is a vibrant and happy setting. Nursery and Pre-School The nursery and pre-school are part of St James’ Church of England School and follow the same high standards and school ethos. As the Nursery and Pre-school is in…","St. James' CofE Nursery, Pre-School and Primary School, Tyrer Avenue, Worsley Mesnes, Wigan, Lancashire, WN3 5XE, 01942 703952",N/A,N/A,N/A
St William's Catholic Primary School Nursery,N/A,"""If you can dream it, you can achieve it!"" (Children's Motto) We have a 26 place Nursery for three and four-year-old children on the school site. Our Nursery is part of our Early Years Department and is run by an experienced Nursery teacher. We are…","Ince Green Lane, Ince, Wigan, Greater Manchester, WN2 2DG, 01942 235782",N/A,N/A,N/A
St. Bernadette's Nursery,N/A,"What we offer: A warm, safe, comfortable environment within a nurturing school community. Learning based on children’s interests and talents. Extensive grounds to explore and learn. A place in the heart of the local village. Educating pupils with skills for life. 15-30 hours funding available.…","Church Lane, Shevington, WIGAN, LANCASHIRE, WN6 8BD, 01257 401125",N/A,N/A,N/A
St. Gabriel's Catholic Primary School Preschool,N/A,"Our Pre-school is delivered by a Qualified Teacher. Pre-school children are able to start the day after their 3rd birthday. Children are able to develop their key areas of learning including, social skills, communication and language and physical skills. Additionally, children will begin to develop…","Queensway, Leigh, WN7 2XG, 01942 769712",N/A,N/A,N/A
St. George's Central Church of England Primary School - Lancaster Avenue Nursery,N/A,We are based in a small community within a beautiful rural setting where our large outdoor area is overlooking farmland. Your child can begin in our Lancaster Avenue Nursery the school term after their second birthday. Your child can begin in either our Lancaster Avenue…,"Lancaster Avenue, Tyldesley, MANCHESTER, Lancs, M29 8LN, 01942 883773",N/A,N/A,N/A
St. George's Central Church of England Primary School and Nursery,N/A,Headteacher's Welcome I would like to take this opportunity to welcome you to St. George’s Central CE Primary School and Nursery. We are an above average sized Church of England Primary School with a teacher led nursery for 3 and 4 year olds on our…,"St. George's Central CE Primary School, Darlington Street, Tyldesley, Manchester, M29 8DH, 01942 883773",N/A,N/A,N/A
St. John's Mosley Common Church of England Primary School Nursery,N/A,"Welcome Situated within the Start Well linked site, the building is set within a green field site and has a separate play area to the school. We have more than 50 years experience in childcare and take pride in the quality of care we provide.…","Mosley Common Children's Centre, Commonside Road, Boothstown, MANCHESTER, LANCASHIRE, M28 1AE, 0161 790 2195 option 3",N/A,N/A,N/A
St. Jude's Catholic Primary School - Preschool,N/A,"Our Preschool offers 15 and 30 hour funded places with flexibility to suit your family needs.    St Jude’s Preschool caters for children from the age of 3. Our children are cared for by our Early Years team, including a fully qualified teacher who plans and delivers exciting activities…","St. Jude's Primary School, Worsley Mesnes Drive, Worsley Mesnes, Wigan, Lancashire, WN3 5AN, 01942 204091",N/A,N/A,N/A
St. Marie's Pre-school,N/A,There has been Pre-school provision at St. Marie’s for over 13 years. All children from the age of 3 are very welcome. Our experienced staff aim to help all children achieve their potential. Structured play activities are carefully planned and prepared so that all children…,"St. Marie's Catholic Primary School, Avondale Street, Standish, WIgan, WN6 0LF, 01257 422975",N/A,N/A,N/A
St. Mark's Church of England Primary School - Little Lions' Nursery,N/A,"Little Lions' Nursery at St. Mark's CE Primary School Little Lions' Nursery is based within St. Mark's Church of England Primary School in Newtown, situated in the heart of the community and has the benefit of being part of 'The Wings' CE Trust'. As a Pre-School…","Alexandra Street, Wigan, Wigan, Lancashire, WN5 9DS, 01942 748618, enquiries@admin.saintmarks.wigan.sch.uk",N/A,N/A,N/A
St. Wilfrid's Catholic Primary School Nursery - Ashton,N/A,Link to the schools page on the directory: Link. Ofsted Report,"Off Golborne Road, Ashton-in-Makerfield, Wigan, Lancashire, WN4 8SJ, 01942 707101",N/A,N/A,N/A
Standish St. Wilfrid's CE Primary School Nursery,N/A,"The Nursery is divided into areas which each have a specific focus. These include: role play, creative area, music area, maths area and ICT. The children access these according to their own interests and staff support them through free and structured play activities. Our staff…","Rectory Lane, Standish, WIGAN, LANCASHIRE, WN6 0XB, 01257 423992, 01257 423714",N/A,N/A,N/A
Twinkle Toes @ St Mary's,N/A,"We treat children as individuals and supply a wide range of activities to encourage their development, which will enable them to attain their potential with the help and guidance of our highly qualified staff. Our nursery is set up as an open plan area, allowing…","C/O St Marys CE Primary School, Wright Street, Platt Bridge, Wigan, WN2 3UQ, 01942 557572",N/A,N/A,N/A
Tyldesley Primary School Nursery,N/A,We offer full-time and part-time hours for 3 and 4-year-olds. We provide a range of snacks for your children; snack contribution is £1 a week which needs to be in a named envelope and posted in our silver post box at the start of each…,"Ennerdale Road, Tyldesley, MANCHESTER, M29 7PY, 01942 882870",N/A,N/A,N/A
Westfield Community School Nursery,N/A,"Westfield strives to offer 'a beacon of HOPE' for the community. It is a place where everyone is valued and respected and provides a calm environment in which children, parents and staff have high expectations to achieve their best. H – HIGH EXPECTATIONS To recognise parents…","Montrose Avenue, Pemberton, WIGAN, LANCASHIRE, WN5 9XN, 01942 776007",N/A,N/A,N/A
Winstanley Community Primary School Nursery,N/A,"We have a school-based nursery which runs as part of our Early Years department. We have a purpose-built area which is bright and stimulating and full of exciting play-based learning resources. Our nursery is staffed by qualified, experienced teachers and a team of highly trained teaching…","Tan House Drive, Winstanley, WIGAN, Greater Manchester, WN3 6JP, 01942 749141",N/A,N/A,N/A
Worsley Mesnes Community Primary Nursery,N/A,This is a Local Authority Nursery providing nursery provision of 15 hours per week free of charge to parents for all 3 and 4-year-olds. There are some 30 hour funded places available for those who meet the Government criteria.  School also provides breakfast and after…,"Clifton Street, Worsley Mesnes, WIGAN, LANCASHIRE, WN3 5HN, 01942 776457",N/A,N/A,N/A
